provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
other shrubs in vicinity,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other shrubs with this species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species collected at this location include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species collected at this site include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species collected here on this date include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species collected in this habitat include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species lcoally includes,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species present,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other species seen or collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other veg doms incl,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other vegetation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other weeds,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other weed species common here,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other willow species seen here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other woody species present,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
parasitado por,,parasitized by,http://purl.obolibrary.org/obo/RO_0002445
(parasite of),,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasite of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasite,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasites,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasitically found on/in,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasitic on,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasitized by,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parásito de,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasitoide de,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasitoide,,parasitoide of,http://purl.obolibrary.org/obo/RO_0002208
parasitoid of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parasito,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
parásito,,parasitized by,http://purl.obolibrary.org/obo/RO_0002445
pathogen,,pathogen of,http://purl.obolibrary.org/obo/RO_0002556
patógeno de,,pathogen of,http://purl.obolibrary.org/obo/RO_0002556
plant assoc,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant assoc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant associates are,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant associates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant associates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant association,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant associations,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant community,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plants associated include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plants include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
plant species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
polinizador de,,pollinated by,http://purl.obolibrary.org/obo/RO_0002456
polinizador,,pollinated by,http://purl.obolibrary.org/obo/RO_0002456
pollinating,,pollinates,http://purl.obolibrary.org/obo/RO_0002455
posando en,,visits,http://purl.obolibrary.org/obo/RO_0002618
posandose en,,visits,http://purl.obolibrary.org/obo/RO_0002618
possible hosts,,has host,http://purl.obolibrary.org/obo/RO_0002454
predator of,,preyed upon by,http://purl.obolibrary.org/obo/RO_0002458
predator,,preyed upon by,http://purl.obolibrary.org/obo/RO_0002458
predators,,preyed upon by,http://purl.obolibrary.org/obo/RO_0002458
presa de,,preyed upon by,http://purl.obolibrary.org/obo/RO_0002458
presa,,preyed upon by,http://purl.obolibrary.org/obo/RO_0002458
prey of,,preyed upon by,http://purl.obolibrary.org/obo/RO_0002458
prey,,preys on,http://purl.obolibrary.org/obo/RO_0002439
rizófago,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
same sheet,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
semiparásito,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
simbionte,,symbiotically interacts with,http://purl.obolibrary.org/obo/RO_0002440
species nearby,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
ssociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
substrate,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
symbiont of,,symbiotically interacts with,http://purl.obolibrary.org/obo/RO_0002440
symbiont,,symbiotically interacts with,http://purl.obolibrary.org/obo/RO_0002440
vicinity,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
visitador,,visits,http://purl.obolibrary.org/obo/RO_0002618
visitado,,visited by,http://purl.obolibrary.org/obo/RO_0002619
visitante de flor,,visits flower of,http://purl.obolibrary.org/obo/RO_0002622
visitante de fruto,,is eaten by,http://purl.obolibrary.org/obo/RO_0002471
visitante floral de,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
visitante floral,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
visited flower of,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
visiting flower of,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
visiting,,visits,http://purl.obolibrary.org/obo/RO_0002618
visitng,,visits,http://purl.obolibrary.org/obo/RO_0002618
visits flowers of,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
visitsflowersof,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
visting flower,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
